Pokemon ID,Name,Description,Japanese name,Name etymology,Image URL,Species,Height,Weight,Type 1,Type 2,Abilities,EV Yield,Catch rate,Base Exp,Growth rate,Gender male %,Gender female %,Friendship,Generation
11,Metapod,Metapod is a Bug type Pokémon introduced in Generation 1.,トランセル (Transel),metamorphosis: a transformation | pod: a cocoon,https://img.pokemondb.net/artwork/metapod.jpg,Cocoon,70,990,Bug,,Shed Skin,2 Defense,120,72,Medium Fast,50,50,50,1
12,Butterfree,"Butterfree is a Bug/Flying type Pokémon introduced in Generation 1. Butterfree has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Befuddle.",バタフリー (Butterfree),"butterfly: a species of flying insect | free: without limit, now it’s able to fly",https://img.pokemondb.net/artwork/butterfree.jpg,Butterfly,110,3200,Bug, Flying,"Compound Eyes, Tinted Lens","2 Sp. Atk, 1 Sp. Def",45,178,Medium Fast,50,50,50,1
13,Weedle,Weedle is a Bug/Poison type Pokémon introduced in Generation 1.,ビードル (Beedle),"worm: long, thin invertebrate creature | needle: sharp implement",https://img.pokemondb.net/artwork/weedle.jpg,Hairy Bug,30,320,Bug, Poison,"Shield Dust, Run Away",1 Speed,255,39,Medium Fast,50,50,50,1
14,Kakuna,Kakuna is a Bug/Poison type Pokémon introduced in Generation 1.,コクーン (Cocoon),cocoon: a pupal casing made by some insects,https://img.pokemondb.net/artwork/kakuna.jpg,Cocoon,60,1000,Bug, Poison,Shed Skin,2 Defense,120,72,Medium Fast,50,50,50,1
15,Beedrill,"Beedrill is a Bug/Poison type Pokémon introduced in Generation 1. Beedrill has a Mega Evolution, available in Omega Ruby/Alpha Sapphire and Pokémon Go.",スピアー (Spear),bee: a species of flying insect | drill: pointed tool,https://img.pokemondb.net/artwork/beedrill.jpg,Poison Bee,100,2950,Bug, Poison,"Swarm, Sniper","2 Attack, 1 Sp. Def",45,178,Medium Fast,50,50,50,1
16,Pidgey,Pidgey is a Normal/Flying type Pokémon introduced in Generation 1.,ポッポ (Poppo),pigeon: a species of bird,https://img.pokemondb.net/artwork/pidgey.jpg,Tiny Bird,30,180,Normal, Flying,"Keen Eye, Tangled Feet, Big Pecks",1 Speed,255,50,Medium Slow,50,50,50,1
17,Pidgeotto,Pidgeotto is a Normal/Flying type Pokémon introduced in Generation 1.,ピジョン (Pigeon),pigeon: a species of bird,https://img.pokemondb.net/artwork/pidgeotto.jpg,Bird,110,3000,Normal, Flying,"Keen Eye, Tangled Feet, Big Pecks",2 Speed,120,122,Medium Slow,50,50,50,1
18,Pidgeot,"Pidgeot is a Normal/Flying type Pokémon introduced in Generation 1. Pidgeot has a Mega Evolution, available in Omega Ruby/Alpha Sapphire and Pokémon Go.",ピジョット (Pigeot),pigeon: a species of bird,https://img.pokemondb.net/artwork/pidgeot.jpg,Bird,150,3950,Normal, Flying,"Keen Eye, Tangled Feet, Big Pecks",3 Speed,45,216,Medium Slow,50,50,50,1
19,Rattata,"Rattata is a Normal type Pokémon introduced in Generation 1. Rattata has an Alolan Form, introduced in Pokémon Sun/Moon.",コラッタ (Koratta),rat: a rodent mammal | rat-a-tat-tat: repeated fast knocking sound,https://img.pokemondb.net/artwork/rattata.jpg,Mouse,30,350,Normal,,"Run Away, Guts, Hustle",1 Speed,255,51,Medium Fast,50,50,50,1
20,Raticate,"Raticate is a Normal type Pokémon introduced in Generation 1. Raticate has an Alolan Form, introduced in Pokémon Sun/Moon.",ラッタ (Ratta),rat: a rodent mammal | eradicate: to exterminate,https://img.pokemondb.net/artwork/raticate.jpg,Mouse,70,1850,Normal,,"Run Away, Guts, Hustle",2 Speed,127,145,Medium Fast,50,50,50,1
21,Spearow,Spearow is a Normal/Flying type Pokémon introduced in Generation 1.,オニスズメ (Onisuzume),spear: pointed weapon | sparrow: a species of bird,https://img.pokemondb.net/artwork/spearow.jpg,Tiny Bird,30,200,Normal, Flying,"Keen Eye, Sniper",1 Speed,255,52,Medium Fast,50,50,50,1
22,Fearow,Fearow is a Normal/Flying type Pokémon introduced in Generation 1.,オニドリル (Onidrill),fear: to be scared of | sparrow: a species of bird,https://img.pokemondb.net/artwork/fearow.jpg,Beak,120,3800,Normal, Flying,"Keen Eye, Sniper",2 Speed,90,155,Medium Fast,50,50,50,1
23,Ekans,Ekans is a Poison type Pokémon introduced in Generation 1.,アーボ (Arbo),snake: a species of reptile; ‘ekans’ spelled backwards is ‘snake’,https://img.pokemondb.net/artwork/ekans.jpg,Snake,200,690,Poison,,"Intimidate, Shed Skin, Unnerve",1 Attack,255,58,Medium Fast,50,50,50,1
24,Arbok,Arbok is a Poison type Pokémon introduced in Generation 1.,アーボック (Arbok),cobra: a species of snake; ‘arbok’ spelled backwards is ‘kobra’,https://img.pokemondb.net/artwork/arbok.jpg,Cobra,350,6500,Poison,,"Intimidate, Shed Skin, Unnerve",2 Attack,90,157,Medium Fast,50,50,50,1
25,Pikachu,"Pikachu is an Electric type Pokémon introduced in Generation 1. Pikachu has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Volt Crash.",ピカチュウ (Pikachu),pikapika: Japanese for a ‘sparkle’ sound | chu: Japanese for a ‘squeak’ sound,https://img.pokemondb.net/artwork/pikachu.jpg,Mouse,40,600,Electric,,"Static, Lightning Rod",2 Speed,190,112,Medium Fast,50,50,50,1
26,Raichu,"Raichu is an Electric type Pokémon introduced in Generation 1. Raichu has an Alolan Form, introduced in Pokémon Sun/Moon.",ライチュウ (Raichu),rai: Japanese for ‘thunder’ | chu: Japanese for ‘squeak’,https://img.pokemondb.net/artwork/raichu.jpg,Mouse,80,3000,Electric,,"Static, Lightning Rod",3 Speed,75,243,Medium Fast,50,50,50,1
27,Sandshrew,"Sandshrew is a Ground type Pokémon introduced in Generation 1. Sandshrew has an Alolan Form, introduced in Pokémon Sun/Moon.",サンド (Sand),sand: fine rock debris | shrew: a rodent,https://img.pokemondb.net/artwork/sandshrew.jpg,Mouse,60,1200,Ground,,"Sand Veil, Sand Rush",1 Defense,255,60,Medium Fast,50,50,50,1
28,Sandslash,"Sandslash is a Ground type Pokémon introduced in Generation 1. Sandslash has an Alolan Form, introduced in Pokémon Sun/Moon.",サンドパン (Sandpan),sand: fine rock debris | slash: to swipe,https://img.pokemondb.net/artwork/sandslash.jpg,Mouse,100,2950,Ground,,"Sand Veil, Sand Rush",2 Defense,90,158,Medium Fast,50,50,50,1
29,Nidoran♀ (female),Nidoran♀ is a Poison type Pokémon introduced in Generation 1.,ニドラン♀ (Nidoran♀),nidoru: Japanese for ‘needle’ | rhino: large African mammal | ♀: female symbol,https://img.pokemondb.net/artwork/nidoran-f.jpg,Poison Pin,40,700,Poison,,"Poison Point, Rivalry, Hustle",1 HP,235,55,Medium Slow,0,100,50,1
30,Nidorina,Nidorina is a Poison type Pokémon introduced in Generation 1.,ニドリーナ (Nidorina),nidoru: Japanese for ‘needle’ | rhino: large African mammal | -a: female suffix,https://img.pokemondb.net/artwork/nidorina.jpg,Poison Pin,80,2000,Poison,,"Poison Point, Rivalry, Hustle",2 HP,120,128,Medium Slow,0,100,50,1
31,Nidoqueen,Nidoqueen is a Poison/Ground type Pokémon introduced in Generation 1.,ニドクイン (Nidoqueen),nidoru: Japanese for ‘needle’ | queen: female royalty,https://img.pokemondb.net/artwork/nidoqueen.jpg,Drill,130,6000,Poison, Ground,"Poison Point, Rivalry, Sheer Force",3 HP,45,227,Medium Slow,0,100,50,1
32,Nidoran♂ (male),Nidoran♂ is a Poison type Pokémon introduced in Generation 1.,ニドラン♂ (Nidoran♂),nidoru: Japanese for ‘needle’ | rhino: large African mammal | ♂: male symbol,https://img.pokemondb.net/artwork/nidoran-m.jpg,Poison Pin,50,900,Poison,,"Poison Point, Rivalry, Hustle",1 Attack,235,55,Medium Slow,100,0,50,1
33,Nidorino,Nidorino is a Poison type Pokémon introduced in Generation 1.,ニドリーノ (Nidorino),nidoru: Japanese for ‘needle’ | rhino: large African mammal | -o: male suffix,https://img.pokemondb.net/artwork/nidorino.jpg,Poison Pin,90,1950,Poison,,"Poison Point, Rivalry, Hustle",2 Attack,120,128,Medium Slow,100,0,50,1
34,Nidoking,Nidoking is a Poison/Ground type Pokémon introduced in Generation 1.,ニドキング (Nidoking),nidoru: Japanese for ‘needle’ | king: male royalty,https://img.pokemondb.net/artwork/nidoking.jpg,Drill,140,6200,Poison, Ground,"Poison Point, Rivalry, Sheer Force",3 Attack,45,227,Medium Slow,100,0,50,1
35,Clefairy,Clefairy is a Fairy type Pokémon introduced in Generation 1.,ピッピ (Pippi),"clef: musical symbol | fairy: imp, sprite",https://img.pokemondb.net/artwork/clefairy.jpg,Fairy,60,750,Fairy,,"Cute Charm, Magic Guard, Friend Guard",2 HP,150,113,Fast,25,75,140,1
36,Clefable,Clefable is a Fairy type Pokémon introduced in Generation 1.,ピクシー (Pixy),"clef: musical symbol | fable: story, fairytale",https://img.pokemondb.net/artwork/clefable.jpg,Fairy,130,4000,Fairy,,"Cute Charm, Magic Guard, Unaware",3 HP,25,217,Fast,25,75,140,1
37,Vulpix,"Vulpix is a Fire type Pokémon introduced in Generation 1. Vulpix has an Alolan Form, introduced in Pokémon Sun/Moon.",ロコン (Rokon),vulpine: of or relating to foxes | six: its number of tails,https://img.pokemondb.net/artwork/vulpix.jpg,Fox,60,990,Fire,,"Flash Fire, Drought",1 Speed,190,60,Medium Fast,25,75,50,1
38,Ninetales,"Ninetales is a Fire type Pokémon introduced in Generation 1. Ninetales has an Alolan Form, introduced in Pokémon Sun/Moon.",キュウコン (Kyukon),nine: its number of tails | tales: corruption of ‘tails’,https://img.pokemondb.net/artwork/ninetales.jpg,Fox,110,1989,Fire,,"Flash Fire, Drought","1 Sp. Def, 1 Speed",75,177,Medium Fast,25,75,50,1
39,Jigglypuff,"Jigglypuff is a Normal/Fairy type Pokémon introduced in Generation 1. In Generation 9, a Paradox Pokémon Scream Tail was discovered, which bears a striking resemblance to Jigglypuff.",プリン (Purin),"jiggle: to shake | puff: inflated, cloud-shaped",https://img.pokemondb.net/artwork/jigglypuff.jpg,Balloon,50,550,Normal, Fairy,"Cute Charm, Competitive, Friend Guard",2 HP,170,95,Fast,25,75,50,1
40,Wigglytuff,Wigglytuff is a Normal/Fairy type Pokémon introduced in Generation 1.,プクリン (Pukurin),"wiggle: to shake | tough: hard, durable",https://img.pokemondb.net/artwork/wigglytuff.jpg,Balloon,100,1200,Normal, Fairy,"Cute Charm, Competitive, Frisk",3 HP,50,218,Fast,25,75,50,1
41,Zubat,Zubat is a Poison/Flying type Pokémon introduced in Generation 1.,ズバット (Zubat),zubatto: Japanese for a sound of something being hit | bat: cave-dwelling flying mammal,https://img.pokemondb.net/artwork/zubat.jpg,Bat,80,750,Poison, Flying,"Inner Focus, Infiltrator",1 Speed,255,49,Medium Fast,50,50,50,1
42,Golbat,Golbat is a Poison/Flying type Pokémon introduced in Generation 1.,ゴルバット (Golbat),gollop: to eat or drink quickly | bat: cave-dwelling flying mammal,https://img.pokemondb.net/artwork/golbat.jpg,Bat,160,5500,Poison, Flying,"Inner Focus, Infiltrator",2 Speed,90,159,Medium Fast,50,50,50,1
43,Oddish,Oddish is a Grass/Poison type Pokémon introduced in Generation 1.,ナゾノクサ (Nazonokusa),Odd: Strange or weird | radish: vegetable,https://img.pokemondb.net/artwork/oddish.jpg,Weed,50,540,Grass, Poison,"Chlorophyll, Run Away",1 Sp. Atk,255,64,Medium Slow,50,50,50,1
44,Gloom,Gloom is a Grass/Poison type Pokémon introduced in Generation 1.,クサイハナ (Kusaihana),gloom: depression | bloom: blossoming,https://img.pokemondb.net/artwork/gloom.jpg,Weed,80,860,Grass, Poison,"Chlorophyll, Stench",2 Sp. Atk,120,138,Medium Slow,50,50,50,1
45,Vileplume,Vileplume is a Grass/Poison type Pokémon introduced in Generation 1.,ラフレシア (Ruffresia),vile: nasty | plume: cluster of showy flowers/petals,https://img.pokemondb.net/artwork/vileplume.jpg,Flower,120,1860,Grass, Poison,"Chlorophyll, Effect Spore",3 Sp. Atk,45,221,Medium Slow,50,50,50,1
46,Paras,Paras is a Bug/Grass type Pokémon introduced in Generation 1.,パラス (Paras),parasite: insect/bacterium that feeds off another animal,https://img.pokemondb.net/artwork/paras.jpg,Mushroom,30,540,Bug, Grass,"Effect Spore, Dry Skin, Damp",1 Attack,190,57,Medium Fast,50,50,50,1
47,Parasect,Parasect is a Bug/Grass type Pokémon introduced in Generation 1.,パラセクト (Parasect),parasite: insect/bacterium that feeds off another animal | insect: a bug,https://img.pokemondb.net/artwork/parasect.jpg,Mushroom,100,2950,Bug, Grass,"Effect Spore, Dry Skin, Damp","2 Attack, 1 Defense",75,142,Medium Fast,50,50,50,1
48,Venonat,Venonat is a Bug/Poison type Pokémon introduced in Generation 1.,コンパン (Kongpang),venom: poison | gnat: a species of insect,https://img.pokemondb.net/artwork/venonat.jpg,Insect,100,3000,Bug, Poison,"Compound Eyes, Tinted Lens, Run Away",1 Sp. Def,190,61,Medium Fast,50,50,50,1
49,Venomoth,Venomoth is a Bug/Poison type Pokémon introduced in Generation 1.,モルフォン (Morphon),venom: poison | moth: a species of insect,https://img.pokemondb.net/artwork/venomoth.jpg,Poison Moth,150,1250,Bug, Poison,"Shield Dust, Tinted Lens, Wonder Skin","1 Sp. Atk, 1 Speed",75,158,Medium Fast,50,50,50,1
50,Diglett,"Diglett is a Ground type Pokémon introduced in Generation 1. Diglett has an Alolan Form, introduced in Pokémon Sun/Moon. In Scarlet/Violet a similar-looking Pokémon Wiglett was discovered, however it is a separate species to Diglett.",ディグダ (Digda),dig: remove/excavate earth | -lett: suffix meaning ‘small’,https://img.pokemondb.net/artwork/diglett.jpg,Mole,20,80,Ground,,"Sand Veil, Arena Trap, Sand Force",1 Speed,255,53,Medium Fast,50,50,50,1
51,Dugtrio,"Dugtrio is a Ground type Pokémon introduced in Generation 1. Dugtrio has an Alolan Form, introduced in Pokémon Sun/Moon. In Scarlet/Violet a similar-looking Pokémon Wugtrio was discovered, however it is a separate species to Dugtrio.",ダグトリオ (Dugtrio),dug: removed/excavated earth | trio: group of three things,https://img.pokemondb.net/artwork/dugtrio.jpg,Mole,70,3329,Ground,,"Sand Veil, Arena Trap, Sand Force",2 Speed,50,149,Medium Fast,50,50,50,1
52,Meowth,"Meowth is a Normal type Pokémon introduced in Generation 1. Meowth has an Alolan Form introduced in Pokémon Sun/Moon, and a Galarian Form introduced in Sword/Shield. The original Kantonian Meowth has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Gold Rush.",ニャース (Nyarth),meow: the sound a cat makes,https://img.pokemondb.net/artwork/meowth.jpg,Scratch Cat,40,420,Normal,,"Pickup, Technician, Unnerve",1 Speed,255,58,Medium Fast,50,50,50,1
53,Persian,"Persian is a Normal type Pokémon introduced in Generation 1. Persian has an Alolan Form, introduced in Pokémon Sun/Moon.",ペルシアン (Persian),persian: a long-haired breed of cat,https://img.pokemondb.net/artwork/persian.jpg,Classy Cat,100,3200,Normal,,"Limber, Technician, Unnerve",2 Speed,90,154,Medium Fast,50,50,50,1
54,Psyduck,Psyduck is a Water type Pokémon introduced in Generation 1.,コダック (Koduck),psychic: supernatural | duck: a species of bird,https://img.pokemondb.net/artwork/psyduck.jpg,Duck,80,1960,Water,,"Damp, Cloud Nine, Swift Swim",1 Sp. Atk,190,64,Medium Fast,50,50,50,1
55,Golduck,Golduck is a Water type Pokémon introduced in Generation 1.,ゴルダック (Golduck),gold: a color (oddly this applies to Psyduck more) | duck: a species of bird,https://img.pokemondb.net/artwork/golduck.jpg,Duck,170,7659,Water,,"Damp, Cloud Nine, Swift Swim",2 Sp. Atk,75,175,Medium Fast,50,50,50,1
56,Mankey,Mankey is a Fighting type Pokémon introduced in Generation 1.,マンキー (Mankey),"monkey: a species of primate | manky: inferior, worthless",https://img.pokemondb.net/artwork/mankey.jpg,Pig Monkey,50,2800,Fighting,,"Vital Spirit, Anger Point, Defiant",1 Attack,190,61,Medium Fast,50,50,50,1
57,Primeape,Primeape is a Fighting type Pokémon introduced in Generation 1.,オコリザル (Okorizaru),"prime: superior | primate: set of mammals including monkeys, apes, etc | ape: a species of primate",https://img.pokemondb.net/artwork/primeape.jpg,Pig Monkey,100,3200,Fighting,,"Vital Spirit, Anger Point, Defiant",2 Attack,75,159,Medium Fast,50,50,50,1
58,Growlithe,"Growlithe is a Fire type Pokémon introduced in Generation 1. Growlithe has a Hisuian Form, introduced in Pokémon Legends: Arceus.",ガーディ (Gardie),growl: gruff noise made by dogs | lithe: gracefully slender,https://img.pokemondb.net/artwork/growlithe.jpg,Puppy,70,1900,Fire,,"Intimidate, Flash Fire, Justified",1 Attack,190,70,Slow,75,25,50,1
59,Arcanine,"Arcanine is a Fire type Pokémon introduced in Generation 1. Arcanine has a Hisuian Form, introduced in Pokémon Legends: Arceus.",ウインディ (Windie),"arcane: ancient, mysterious | canine: of or relating to dogs",https://img.pokemondb.net/artwork/arcanine.jpg,Legendary,190,15500,Fire,,"Intimidate, Flash Fire, Justified",2 Attack,75,194,Slow,75,25,50,1
60,Poliwag,Poliwag is a Water type Pokémon introduced in Generation 1.,ニョロモ (Nyoromo),polliwog: a tadpole; baby frog/toad | wag: tail movement,https://img.pokemondb.net/artwork/poliwag.jpg,Tadpole,60,1240,Water,,"Water Absorb, Damp, Swift Swim",1 Speed,255,60,Medium Slow,50,50,50,1
61,Poliwhirl,Poliwhirl is a Water type Pokémon introduced in Generation 1.,ニョロゾ (Nyorozo),polliwog: a tadpole; baby frog/toad | whirl: circular pattern,https://img.pokemondb.net/artwork/poliwhirl.jpg,Tadpole,100,2000,Water,,"Water Absorb, Damp, Swift Swim",2 Speed,120,135,Medium Slow,50,50,50,1
62,Poliwrath,Poliwrath is a Water/Fighting type Pokémon introduced in Generation 1.,ニョロボン (Nyorobon),polliwog: a tadpole; baby frog/toad | wrath: anger,https://img.pokemondb.net/artwork/poliwrath.jpg,Tadpole,130,5400,Water, Fighting,"Water Absorb, Damp, Swift Swim",3 Defense,45,230,Medium Slow,50,50,50,1
63,Abra,Abra is a Psychic type Pokémon introduced in Generation 1.,ケーシィ (Casey),"abracadabra: magical word, sometimes used with ‘alakazam’",https://img.pokemondb.net/artwork/abra.jpg,Psi,90,1950,Psychic,,"Synchronize, Inner Focus, Magic Guard",1 Sp. Atk,200,62,Medium Slow,75,25,50,1
64,Kadabra,Kadabra is a Psychic type Pokémon introduced in Generation 1.,ユンゲラー (Yungerer),"abracadabra: magical word, sometimes used with ‘alakazam’",https://img.pokemondb.net/artwork/kadabra.jpg,Psi,130,5650,Psychic,,"Synchronize, Inner Focus, Magic Guard",2 Sp. Atk,100,140,Medium Slow,75,25,50,1
65,Alakazam,"Alakazam is a Psychic type Pokémon introduced in Generation 1. Alakazam has a Mega Evolution, available in Generation 6 games and Pokémon Go.",フーディン (Foodin),"alakazam: magical word, sometimes used with ‘abracadabra’",https://img.pokemondb.net/artwork/alakazam.jpg,Psi,150,4800,Psychic,,"Synchronize, Inner Focus, Magic Guard",3 Sp. Atk,50,225,Medium Slow,75,25,50,1
66,Machop,Machop is a Fighting type Pokémon introduced in Generation 1.,ワンリキー (Wanriky),"macho: strong, muscular | chop: A karate chop",https://img.pokemondb.net/artwork/machop.jpg,Superpower,80,1950,Fighting,,"Guts, No Guard, Steadfast",1 Attack,180,61,Medium Slow,75,25,50,1
67,Machoke,Machoke is a Fighting type Pokémon introduced in Generation 1.,ゴーリキー (Goriky),"macho: strong, muscular | choke: To strangle",https://img.pokemondb.net/artwork/machoke.jpg,Superpower,150,7050,Fighting,,"Guts, No Guard, Steadfast",2 Attack,90,142,Medium Slow,75,25,50,1
68,Machamp,"Machamp is a Fighting type Pokémon introduced in Generation 1. Machamp has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Chi Strike.",カイリキー (Kairiky),"macho: strong, muscular | champ: A winner",https://img.pokemondb.net/artwork/machamp.jpg,Superpower,160,13000,Fighting,,"Guts, No Guard, Steadfast",3 Attack,45,227,Medium Slow,75,25,50,1
69,Bellsprout,Bellsprout is a Grass/Poison type Pokémon introduced in Generation 1.,マダツボミ (Madatsubomi),"bell: ringing device (shape) | sprout: grow, bloom",https://img.pokemondb.net/artwork/bellsprout.jpg,Flower,70,400,Grass, Poison,"Chlorophyll, Gluttony",1 Attack,255,60,Medium Slow,50,50,50,1
70,Weepinbell,Weepinbell is a Grass/Poison type Pokémon introduced in Generation 1.,ウツドン (Utsudon),"weeping: sad, drooping | bell: ringing device (shape)",https://img.pokemondb.net/artwork/weepinbell.jpg,Flycatcher,100,640,Grass, Poison,"Chlorophyll, Gluttony",2 Attack,120,137,Medium Slow,50,50,50,1
71,Victreebel,Victreebel is a Grass/Poison type Pokémon introduced in Generation 1.,ウツボット (Utsubot),victory: a win achieved over someone | tree: large plant with a trunk | bell: ringing device (shape),https://img.pokemondb.net/artwork/victreebel.jpg,Flycatcher,170,1550,Grass, Poison,"Chlorophyll, Gluttony",3 Attack,45,221,Medium Slow,50,50,50,1
72,Tentacool,"Tentacool is a Water/Poison type Pokémon introduced in Generation 1. In Generation 9 a similar-looking Pokémon Toedscool was discovered, however it is a separate species to Tentacool.",メノクラゲ (Menokurage),"tentacle: the ‘limb’ of a sea creature | cool: low temperature, or impressive",https://img.pokemondb.net/artwork/tentacool.jpg,Jellyfish,90,4550,Water, Poison,"Clear Body, Liquid Ooze, Rain Dish",1 Sp. Def,190,67,Slow,50,50,50,1
